BRAVADO SPICE LLC,,,,,,,,,
General Ledger,,,,,,,,,
"January-December, 2025",,,,,,,,,

,Distribution account,Transaction date,Transaction type,Num,Name,Description,Split,Amount,Balance
1862 Found Chase Bank,,,,,,,,,
,1862 Found Chase Bank,11/15/2025,Expense,,Found,Found* San Francisco CA 11/15,11200 Chase Checking 5189,25.00,25.00
,1862 Found Chase Bank,11/18/2025,Expense,,Hot Time Sauces,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-2.43,22.57
,1862 Found Chase Bank,11/18/2025,Payment,,Hot Time Sauces,,12000 Accounts Receivable,60.96,83.53
,1862 Found Chase Bank,11/18/2025,Expense,,covicon GmbH,Faire Promotions,71200 Cost of Sales (COS):Other Costs - COS,-363.98,-280.45
,1862 Found Chase Bank,11/18/2025,Expense,,covicon GmbH,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-119.66,-400.11
,1862 Found Chase Bank,11/18/2025,Expense,,covicon GmbH,Faire Taxes,71200 Cost of Sales (COS):Other Costs - COS,-7.90,-408.01
,1862 Found Chase Bank,11/18/2025,Expense,,covicon GmbH,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-28.22,-436.23
,1862 Found Chase Bank,11/18/2025,Payment,,covicon GmbH,,12000 Accounts Receivable,938.52,502.29
,1862 Found Chase Bank,11/18/2025,Expense,,J5 Coffee,Faire Insider Brand Shipping Charge,71200 Cost of Sales (COS):Other Costs - COS,-43.18,459.11
,1862 Found Chase Bank,11/18/2025,Expense,,J5 Coffee,Faire Processing fee,Overhead Expenses (G&A):Financial Fees:Faire Fees,-15.08,444.03
,1862 Found Chase Bank,11/18/2025,Payment,,J5 Coffee,,12000 Accounts Receivable,422.28,866.31
,1862 Found Chase Bank,11/18/2025,Expense,,Pita Inn Meat Market and Bakery,Faire Commissions,71200 Cost of Sales (COS):Other Costs - COS,-35.80,830.51
