BRAVADO SPICE LLC,,,,,,,,,,,,,
Profit and Loss by Month,,,,,,,,,,,,,
"January 1-December 31, 2024",,,,,,,,,,,,,

,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Total
Income,,,,,,,,,,,,,
61000 Sales,,,,,,,,,,0.00,0.00,0.00,0.00
61200 Hot Sauce,,,,,,,,,,,,,
61210 Pineapple & Habanero Hot Sauce,"5,305.50","4,303.14","8,646.46","3,350.70","7,857.84","6,514.68","8,297.64","5,214.06","12,280.20","12,184.32","5,711.52",377.64,"80,043.70"
61215 Garlic & Arbol Moruga Scorpion Hot Sauce,"11,564.64","5,211.84","2,642.64",,,,183.60,"1,168.32","2,756.76","3,475.40",516.56,"1,534.92","29,054.68"
61216 Arbol Chili & Garlic Hot Sauce,"9,724.62","6,333.06","5,181.14","1,492.92","6,782.22","4,357.50","8,862.48","1,983.12","10,498.08","10,855.44","4,207.14","2,783.64","73,061.36"
61217 Manuka Honey Passion Fruit Hot Sauce,528.00,181.20,132.00,288.00,460.80,552.00,57.60,396.00,288.00,,,708.00,"3,591.60"
61220 Jalapeno & Green Apple Hot Sauce,,,,420.00,,,,,,,,,420.00
61225 Ancho Masala Ghost-Reaper Hot Sauce,790.92,227.32,135.52,"1,714.24",997.44,428.40,268.92,871.32,"1,301.04",,,77.04,"6,812.16"
61230 Ghost Pepper & Blueberry Hot Sauce,"3,475.84","1,361.76","2,809.88","2,863.62","6,818.82","5,817.42","6,043.74","3,134.76","5,368.26","8,460.18","3,896.10","3,404.88","53,455.26"
61240 Crimson Hot Sauce,110.64,112.20,104.00,"5,280.00",221.28,,,,,,96.00,122.52,"6,046.64"
61260 Serrano & Basil Hot Sauce,"1,857.14","1,894.38","4,143.80","1,882.74","1,827.78","1,365.42","2,189.10","3,427.68","2,158.50","1,559.88","4,575.42","1,980.96","28,862.80"
61270 Black Garlic & Carolina Reaper Hot Sauce,"20,795.44","13,451.40",386.76,,"9,272.56","5,645.00","12,233.96",722.04,"21,336.56","18,369.48","5,161.44","6,617.44","113,992.08"
61280 Creamy Herb & Jalapeño Hot Sauce,"1,187.76","1,592.04",299.00,"1,956.24",658.74,"2,808.96","5,895.66","2,114.28","3,682.68","8,008.02","2,498.04",219.12,"30,920.54"
61290 Aka Miso Ghost-Reaper Hot Sauce,"2,765.32","2,889.52","1,353.80","1,554.64",,"1,379.76",79.44,214.20,"6,139.93","2,907.00",61.20,77.04,"19,421.85"
Total for 61200 Hot Sauce,"58,105.82","37,557.86","25,835.00","20,803.10","34,897.48","28,869.14","44,112.14","19,245.78","65,810.01","65,819.72","26,723.42","17,903.20","$445,682.67"
61300 Seasonings,,,,,,,,,,,,,
61310 Jalapeno & Garlic Seasoning,270.64,112.20,,"5,435.76",384.00,,,,209.28,384.00,155.76,119.76,"7,071.40"
Total for 61300 Seasonings,270.64,112.20,$0.00,"5,435.76",384.00,$0.00,$0.00,$0.00,209.28,384.00,155.76,119.76,"$7,071.40"
61400 Mixers,,,,,,,,,,,,,
61410 Pineapple & Jalapeno & Margarita Mix,"1,944.00","1,080.00","2,538.00","2,454.90",810.00,"1,080.00",,540.00,"1,836.00","4,005.30","2,340.00",135.54,"18,763.74"
61420 Ruby Red Grapefruit Margarita Mix,918.00,378.00,882.00,,540.00,486.00,,,810.00,"3,935.10",,129.54,"8,078.64"
61430 Lime & Yuzu Margarita Mix,"1,152.00",108.00,"1,080.00",270.00,,540.00,,240.00,828.00,,,,"4,218.00"
Total for 61400 Mixers,"4,014.00","1,566.00","4,500.00","2,724.90","1,350.00","2,106.00",$0.00,780.00,"3,474.00","7,940.40","2,340.00",265.08,"$31,060.38"
61500 Sets,"16,974.60","21,110.21","11,520.60","31,017.00","31,903.20","42,654.76",19.98,,659.04,"3,900.00","-1,386.70","1,168.46","159,541.15"
61600 Faire Sales,"10,336.00","2,676.00","3,811.00","2,489.00","4,108.00","5,784.00","11,436.00","5,212.00","5,415.00","12,833.00","4,600.00","4,219.00","72,919.00"
64000 Online Sales,"-1,082.89","2,954.54","12,938.37","-7,859.82","2,793.23","2,356.72","6,449.43","5,750.93","2,660.08","5,245.37","6,680.13","10,199.45","49,085.54"
65000 Amazon Seller Central Sales,,,,,,,,,,,,,
65100 Amazon US Market Sales,"8,723.46","3,728.80","7,302.22","3,565.24","2,129.84",61.96,12.86,"3,137.03","2,741.70","2,630.75","4,093.34","1,523.88","39,651.08"
Total for 65000 Amazon Seller Central Sales,"8,723.46","3,728.80","7,302.22","3,565.24","2,129.84",61.96,12.86,"3,137.03","2,741.70","2,630.75","4,093.34","1,523.88","$39,651.08"
Total for 61000 Sales,"97,341.63","69,705.61","65,907.19","58,175.18","77,565.75","81,832.58","62,030.41","34,125.74","80,969.11","98,753.24","43,205.95","35,398.83","$805,011.22"
66000 Other Income,,,,732.60,0.26,,,,,,,,732.86
67000 Uncategorized Income,,,,,,$0.00,,,,,,,$0.00
Discounts given,$0.00,$0.00,,,,,,,,,,,$0.00
Total for Income,"97,341.63","69,705.61","65,907.19","58,907.78","77,566.01","81,832.58","62,030.41","34,125.74","80,969.11","98,753.24","43,205.95","35,398.83","$805,744.08"
Cost of Goods Sold,,,,,,,,,,,,,
71000 Cost of Sales (COS),,,"4,960.84",,,,921.40,,"3,712.50",,,,"9,594.74"
71100 Shipping & Delivery - COS,"8,645.89","5,158.80","4,209.64","4,062.01","5,470.04","3,948.79","5,155.94","3,279.24","2,763.04","5,013.84","6,157.30","2,746.71","56,611.24"
71200 Other Costs - COS,"1,407.64",118.79,631.58,"5,782.17",484.98,243.28,"1,597.75",246.72,"1,852.29","3,668.29",627.39,"4,384.97","21,045.85"
71300 Ingredients - COS,,,,"-5,010.17","6,588.28","13,541.54",,,,629.00,,,"15,748.65"
71400 Co-Packer - COGS,"40,909.49","27,875.18","32,709.91","37,749.46","40,924.29","18,153.26","19,985.29","10,148.25","30,374.18","56,094.79","18,035.05","35,939.15","368,898.30"
71500 Materials - COS,,,,,,634.08,,,,,,,634.08
71600 Placement/Freefill - COS,,89.52,,,,,,,,,,,89.52
Inventory Adjustment,"6,899.69","-2,314.87","1,655.62","2,783.19",695.56,368.71,"1,325.88",845.08,931.43,381.58,"-1,212.39","8,107.12","20,466.60"
Inventory Shrinkage,,,,,,,,,,,,$0.00,$0.00
Marketing Allowance,,-199.06,,18.27,,,"2,200.01",,,,,,"2,019.22"
On-Invoice Discounts,113.81,128.49,75.13,598.72,424.55,75.42,6.06,293.20,410.66,278.77,,113.78,"2,518.59"
Pass Thru Deduction,"2,234.45",3.24,,353.26,372.87,272.03,,145.14,27.46,196.73,,402.85,"4,008.03"
QuickBooks Payments Fees,392.08,2.62,246.00,,,"1,070.00","1,075.98",,,,,,"2,786.68"
Spoilage Allowance,289.25,309.87,"2,771.98",458.00,242.98,387.48,430.39,69.95,"3,835.48",108.86,271.29,149.06,"9,324.59"
Swell Discount,"16,191.67","16,355.92","1,903.75","5,942.95","1,398.60","1,391.66","2,807.07","2,790.05",,"2,445.74","4,773.60","4,724.60","60,725.61"
Total for 71000 Cost of Sales (COS),"77,083.97","47,528.50","49,164.45","52,737.86","56,602.15","40,086.25","35,505.77","17,817.63","43,907.04","68,817.60","28,652.24","56,568.24","$574,471.70"
Cost of Goods Sold,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Total for Cost of Goods Sold,"77,083.97","47,528.50","49,164.45","52,737.86","56,602.15","40,086.25","35,505.77","17,817.63","43,907.04","68,817.60","28,652.24","56,568.24","$574,471.70"
Gross Profit,"20,257.66","22,177.11","16,742.74","6,169.92","20,963.86","41,746.33","26,524.64","16,308.11","37,062.07","29,935.64","14,553.71","-21,169.41","$231,272.38"
Expenses,,,,,,,,,,,,,
72000 Marketing/Advertising,,"3,311.52",306.64,-181.71,204.67,"2,091.25",,-645.60,,,337.36,112.30,"5,536.43"
72100 Freight & Delivery - Marketing,,,,,,,,,,,,292.03,292.03
72200 Social Media Marketing,740.54,$0.00,$0.00,,,,,,,,,,740.54
72300 Promotional,495.79,"1,110.47","1,008.72","2,261.90","1,880.50",47.49,"1,730.05","1,583.09",,"1,598.13",,70.35,"11,786.49"
72400 Travel,"3,487.39",209.16,750.24,361.94,366.67,316.10,"1,126.56","1,269.47","3,977.60",,789.56,354.45,"13,009.14"
72500 Events/Shows,14.99,"3,990.50",4.50,75.08,"3,870.39",278.84,,,839.22,170.85,32.44,57.65,"9,334.46"
72600 In Store Marketing,192.44,30.00,106.61,140.97,451.33,314.18,314.19,295.00,408.39,,,10.00,"2,263.11"
72601 Marketing Scanbacks,,,,,851.80,,20.50,,3.02,,43.32,,918.64
Total for 72600 In Store Marketing,192.44,30.00,106.61,140.97,"1,303.13",314.18,334.69,295.00,411.41,$0.00,43.32,10.00,"$3,181.75"
Free fill,,,,415.71,38.89,,70.93,,,,,,525.53
Slotting Fees,,,,,,,,34.06,,,,,34.06
Total for 72000 Marketing/Advertising,"4,931.15","8,651.65","2,176.71","3,073.89","7,664.25","3,047.86","3,262.23","2,536.02","5,228.23","1,768.98","1,202.68",896.78,"$44,440.43"
73000 Overhead Expenses (G&A),,,,,,,,,,,,,
73100 Rent or Lease,"9,559.18","9,559.18",-413.96,"9,150.00","10,533.78","11,511.58","2,547.64","2,537.61","2,330.00","2,330.00","2,330.00","2,603.24","64,578.25"
73110 Office Rent,"-4,500.00",,"-4,500.00","-4,497.16","-4,500.00",,,,7.25,,,"17,989.91",$0.00
Total for 73100 Rent or Lease,"5,059.18","9,559.18","-4,913.96","4,652.84","6,033.78","11,511.58","2,547.64","2,537.61","2,337.25","2,330.00","2,330.00","20,593.15","$64,578.25"
73200 Office Expenses,173.58,"1,029.36","2,301.74",590.02,"1,214.21",784.41,"1,454.09",-8.10,"2,318.01",500.00,83.08,,"10,440.40"
73210 Shipping Supplies,$0.00,,,,,,,,,,,,$0.00
73220 Food Expense,77.18,,112.72,416.99,104.07,13.92,65.52,144.67,92.53,,402.50,409.94,"1,840.04"
Total for 73200 Office Expenses,250.76,"1,029.36","2,414.46","1,007.01","1,318.28",798.33,"1,519.61",136.57,"2,410.54",500.00,485.58,409.94,"$12,280.44"
73300 Utilities,791.63,782.26,"2,715.66","1,293.38",609.88,"1,767.58",579.60,237.70,270.66,270.78,270.86,270.86,"9,860.85"
Electricity,"1,298.84",,,,,286.95,,,,,,,"1,585.79"
Total for 73300 Utilities,"2,090.47",782.26,"2,715.66","1,293.38",609.88,"2,054.53",579.60,237.70,270.66,270.78,270.86,270.86,"$11,446.64"
73400 Financial Fees,,,,,"1,515.91","1,021.24",,,,,199.75,"7,532.56","10,269.46"
73410 Bank Fees,"1,130.46",127.99,"1,360.99",789.65,"1,558.49","1,123.08","1,353.00",430.81,250.69,304.00,247.00,263.22,"8,939.38"
73420 Credit Card Fees,,26.17,,216.25,62.24,54.98,53.17,102.26,57.22,104.49,,250.00,926.78
73430 PayPal Fees,310.83,486.32,204.67,,,,,5.10,,,,,"1,006.92"
73450 Interest Expense,"3,799.49","3,608.65","2,672.09","5,113.48","2,316.82",841.14,"1,310.33","3,504.77","1,603.78",517.62,"13,768.61",374.26,"39,431.04"
Faire Fees,366.32,102.27,147.96,76.26,171.56,197.86,354.05,183.45,175.87,473.27,159.71,150.69,"2,559.27"
Late Penalty Fees,,,600.00,"2,752.92",555.56,150.00,37.83,"2,411.52",859.77,$0.00,$0.00,"1,800.00","9,167.60"
Total for 73400 Financial Fees,"5,607.10","4,351.40","4,985.71","8,948.56","6,180.58","3,388.30","3,108.38","6,637.91","2,947.33","1,399.38","14,375.07","10,370.73","$72,300.45"
73500 Dues & Subscriptions,"2,088.34","1,427.59","4,188.12",648.91,"2,517.19","2,467.26","3,593.86","2,963.81","1,571.03","2,256.97","1,910.31","2,277.91","27,911.30"
73600 Insurance,295.44,295.44,280.62,333.69,253.57,296.80,296.80,296.80,301.09,188.84,413.34,112.25,"3,364.68"
73620 Insurance - Liability,"2,720.62","1,808.54",982.54,982.54,982.54,"-2,023.92",,,-16.31,,,,"5,436.55"
73640 Insurance - Health,345.30,138.12,207.18,"3,310.62",138.12,"2,144.78","1,755.85","1,617.73","-1,203.02","1,617.73","2,209.92","-1,490.86","10,791.47"
Total for 73600 Insurance,"3,361.36","2,242.10","1,470.34","4,626.85","1,374.23",417.66,"2,052.65","1,914.53",-918.24,"1,806.57","2,623.26","-1,378.61","$19,592.70"
73700 Professional Fees,"5,893.65",,"1,593.65","9,093.65","4,093.65","4,133.55","4,133.55","4,173.45","4,133.55","4,093.65","4,093.65","2,500.00","47,936.00"
73800 Taxes & Licenses,,,,,,,,1.00,,,,,1.00
73900 1099 Non-Employee Compensation,"7,721.70","3,588.20","9,125.97","7,933.50","6,115.20","9,159.11","8,033.62","8,580.25","5,630.75","9,354.75","4,625.50","11,945.62","91,814.17"
73910 Payroll Expenses,,,,,,,,,,,,,
73901 Payroll Taxes,"2,183.80","1,544.70",994.74,682.27,803.89,522.93,349.92,,333.61,166.82,333.62,"-6,099.49","1,816.81"
73902 Salaries & Wages,"29,408.71","22,406.77","20,694.92","15,370.26","17,163.57","13,536.92","11,250.02","2,500.00","17,500.04","8,750.02","13,125.02","11,250.02","182,956.27"
Total for 73910 Payroll Expenses,"31,592.51","23,951.47","21,689.66","16,052.53","17,967.46","14,059.85","11,599.94","2,500.00","17,833.65","8,916.84","13,458.64","5,150.53","$184,773.08"
Total for 73000 Overhead Expenses (G&A),"63,665.07","46,931.56","43,269.61","54,257.23","46,210.25","47,990.17","37,168.85","29,682.83","36,216.52","30,928.94","44,172.87","52,140.13","$532,634.03"
74000 Bad Debts,,"1,913.76","1,949.04",,,,,,,,"5,790.74",,"9,653.54"
75500 Reimbursements,78.66,240.15,103.76,,54.91,,,,,552.19,92.25,514.42,"1,636.34"
76000 Repair & Maintenance,,,361.47,"1,843.97",353.32,163.54,,,268.42,,20.63,185.00,"3,196.35"
Melio Credit card fee,4.50,,158.96,6.09,87.72,28.55,70.71,167.04,,-7.25,,,516.32
Remittance Discrepancy,,,,-19.98,-779.36,,,,,,,,-799.34
Total for Expenses,"68,679.38","57,737.12","48,019.55","59,161.20","53,591.09","51,230.12","40,501.79","32,385.89","41,713.17","33,242.86","51,279.17","53,736.33","$591,277.67"
Net Operating Income,"-48,421.72","-35,560.01","-31,276.81","-52,991.28","-32,627.23","-9,483.79","-13,977.15","-16,077.78","-4,651.10","-3,307.22","-36,725.46","-74,905.74","-$360,005.29"
Other Income,,,,,,,,,,,,,
80000 Interest Earned,0.14,0.04,0.02,0.02,,,0.11,"5,400.01",0.06,0.01,0.09,0.13,"5,400.63"
80001 Other Misc Income,,,,,"3,000.00","23,217.12","2,167.00","-2,167.00",,,,,"26,217.12"
80005 Rent Income,,,,,,,,,,,,"17,989.91","17,989.91"
Total for Other Income,0.14,0.04,0.02,0.02,"3,000.00","23,217.12","2,167.11","3,233.01",0.06,0.01,0.09,"17,990.04","$49,607.66"
Other Expenses,,,,,,,,,,,,,
Gains/Loss on Asset Sale/Disposal,"-12,134.87",,,,,"-3,600.00",,,,,,,"-15,734.87"
Total for Other Expenses,"-12,134.87",$0.00,$0.00,$0.00,$0.00,"-3,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"-$15,734.87"
Net Other Income,"12,135.01",0.04,0.02,0.02,"3,000.00","26,817.12","2,167.11","3,233.01",0.06,0.01,0.09,"17,990.04","$65,342.53"
Net Income,"-36,286.71","-35,559.97","-31,276.79","-52,991.26","-29,627.23","17,333.33","-11,810.04","-12,844.77","-4,651.04","-3,307.21","-36,725.37","-56,915.70","-$294,662.76"



"Accrual Basis Monday, August 24, 2026 09:14 PM GMTZ",,,,,,,,,,,,,
